Conta: 207951
Titular: 
Data Inicial: 01/09/2025
Data Final: 05/09/2025

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WINFUT;01/09/2025 11:30:00;01/09/2025 13:30:00;2h;1;1;V;143.285,00;143.870,00;144.650,00;Não;117,00;585,00;1;117,00;585,00;117,00;0,00;0,00; - ;117,00
WINFUT;01/09/2025 13:45:00;01/09/2025 14:00:00;15min;1;1;V;143.215,00;143.115,00;144.650,00;Não;-20,00;-100,00;2;-20,00;-100,00;-20,00;0,00;0,00;2h15min;97,00
WINFUT;01/09/2025 14:30:00;01/09/2025 14:30:00;-;1;1;V;143.250,00;143.150,00;144.650,00;Sim;-20,00;-100,00;3;-20,00;-100,00;-20,00;0,00;0,00;45min;77,00
WINFUT;02/09/2025 09:45:00;02/09/2025 10:15:00;30min;1;1;V;141.945,00;142.025,00;144.650,00;Não;16,00;80,00;4;16,00;80,00;16,00;0,00;0,00;19h15min;93,00
WINFUT;02/09/2025 15:30:00;02/09/2025 15:45:00;15min;1;1;V;142.350,00;142.250,00;144.650,00;Sim;-20,00;-100,00;5;-20,00;-100,00;-20,00;0,00;0,00;5h45min;73,00
WINFUT;03/09/2025 10:00:00;03/09/2025 11:00:00;1h;1;1;V;142.080,00;142.315,00;144.650,00;Sim;47,00;235,00;6;47,00;235,00;47,00;0,00;0,00;18h30min;120,00
WINFUT;03/09/2025 12:45:00;03/09/2025 13:00:00;15min;1;1;V;142.030,00;141.930,00;144.650,00;Não;-20,00;-100,00;7;-20,00;-100,00;-20,00;0,00;0,00;2h45min;100,00
WINFUT;03/09/2025 13:15:00;03/09/2025 13:30:00;15min;1;1;V;141.955,00;141.860,00;144.650,00;Não;-19,00;-95,00;8;-19,00;-95,00;-19,00;0,00;0,00;30min;81,00
WINFUT;03/09/2025 13:45:00;03/09/2025 14:00:00;15min;1;1;V;141.955,00;141.855,00;144.650,00;Não;-20,00;-100,00;9;-20,00;-100,00;-20,00;0,00;0,00;30min;61,00
WINFUT;03/09/2025 14:30:00;03/09/2025 15:00:00;30min;1;1;V;141.840,00;141.870,00;144.650,00;Sim;6,00;30,00;10;6,00;30,00;6,00;0,00;0,00;45min;67,00
WINFUT;03/09/2025 15:30:00;03/09/2025 16:00:00;30min;1;1;V;141.735,00;141.715,00;144.650,00;Não;-4,00;-20,00;11;-4,00;-20,00;-4,00;0,00;0,00;1h;63,00
WINFUT;03/09/2025 16:15:00;03/09/2025 16:30:00;15min;1;1;V;141.720,00;141.620,00;144.650,00;Não;-20,00;-100,00;12;-20,00;-100,00;-20,00;0,00;0,00;45min;43,00
WINFUT;04/09/2025 09:15:00;04/09/2025 09:15:00;-;1;1;V;141.720,00;141.620,00;144.650,00;Não;-20,00;-100,00;13;-20,00;-100,00;-20,00;0,00;0,00;17h;23,00
WINFUT;04/09/2025 13:15:00;04/09/2025 13:15:00;-;1;1;C;142.775,00;142.675,00;144.650,00;Não;-20,00;-100,00;14;-20,00;-100,00;-20,00;0,00;0,00;4h;3,00
WINFUT;04/09/2025 13:45:00;04/09/2025 15:15:00;1h30min;1;1;C;142.805,00;143.335,00;144.650,00;Não;106,00;530,00;15;106,00;530,00;106,00;0,00;0,00;30min;109,00
WINFUT;05/09/2025 10:00:00;05/09/2025 11:15:00;1h15min;1;1;C;144.240,00;145.170,00;144.650,00;Não;186,00;930,00;16;186,00;930,00;186,00;0,00;0,00;20h15min;295,00
WINFUT;05/09/2025 15:30:00;05/09/2025 16:15:00;45min;1;1;C;144.530,00;144.550,00;144.650,00;Não;4,00;20,00;17;4,00;20,00;4,00;0,00;0,00;5h30min;299,00
